caminho_imagem,celulas,particao
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_001_be340ee72689dfe3f8dc9c24de6127f4.png,42,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_002_9d0f43b29d78f673e9caf77928b4af3c.png,20,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_003_8b312497db839bbe14c41fb18badbc23.png,13,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_004_4fb1ebbd1adb2da024ffe2394c1712c9.png,16,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_005_5b7cc4b7d0373fab44cc5686ba477e0c.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_006_d1139b2167d9254c2e29edb485c1bda8.png,14,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_007_df075c7d02cc7729bd04b5996a3e8991.png,52,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_008_1f8274db391ed2747c0c3a8560bf6d3a.png,47,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_009_71abd3d9c8d0e5738c1db3328645fde8.png,12,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_010_fb100898ae793bb2475fd6d3ee92ef31.png,17,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_011_90d08f57cdeb58238879b4af949d4f50.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_012_1766e5c4a2a6034960b40bdd3c47c297.png,7,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_013_ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,62,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_014_746c084dbe0b987385df13ddbf4dd635.png,28,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_015_fe7dccb72ee17d6776970bdb5e5ba3ba.png,36,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_016_42e7a4f3bd69279d8b1bc4ea8e248f08.png,45,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_017_602e28f6537d6638bc4ccbe4cde5fab1.png,25,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_018_3659bf68aeea760b319cd0710e3651fb.png,52,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_019_8457af003b1ad48e907156b5e6e53bea.png,36,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_020_edc748c10f4cd73535452d54b0d7a1a6.png,9,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_021_faf0a263bf469832c7569a5ccbaa48c3.png,22,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_022_d67cd01defdc182ca48cee14e776f22c.png,52,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_023_77acea6065f24cef2351ef3bc2af43a1.png,44,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_024_e49e5d68eaf20468db941ac76632674f.png,14,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_025_f981c4aac622d7cce71a81305dd38ade.png,56,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_026_584d79af21c45131e9af9d54d2c2b8e4.png,70,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_027_36a2bc6bae69351df86a4a2fe4d49c2a.png,37,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_028_c5a3e789e449a8123509be5fd671b6b2.png,45,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_029_92f442dda43d7250c63ba2823c96be42.png,48,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_030_0489736e8d880b5188b04d11c3131cd3.png,46,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_031_88e5e1814b1a2c4d30e28f8b98ba157c.png,77,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_032_ee78da0c06d978fec8d86a8d97182445.png,19,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_033_07872ee58dea1007dd5d4afa5fb2556d.png,46,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_034_b6bf215df9cc83413a7c5a61c64361da.png,4,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_035_bf7767fb55e9b4e77ea458f825f06e65.png,39,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_036_7f725f332e420bc3c96533e342802d4c.png,16,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_037_9e3b55d7afdc1573cc15b347d053ec07.png,38,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_038_466a61aa31579a2ffb3c561f5a5d37d0.png,47,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_039_dd569f426f91cc5d6a20804c800d6eb3.png,41,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_040_544a28aab9a8a0b827a18423e82280b1.png,11,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_041_33708abb81e40ff45d1510c44546e82f.png,21,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_042_45c237e071148a104c2770fbca5e67a8.png,12,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_043_e4c629cd4647aa3e1a5bd66590118b44.png,18,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_044_5ddea605aee431bb47d9580882733a87.png,37,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_045_e42d8978f7ff44cd74a646b97b1c2c1c.png,33,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_046_2c0c4f9db92dc5b996c4e1b90aa2a0ec.png,16,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_047_80f0bb35228273e50637a673be666337.png,21,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_048_c7c3f56a4d110b49099830b0f65251a3.png,47,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_049_41766de1e13ae83bdad1f7b71a606340.png,20,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_050_6904abb84d55c002c01e119d241b18d9.png,26,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_051_1a7a2ec67cefb1f11748edd2573291a8.png,69,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_052_ed6b37f3f850247337f16501fe5fa7fd.png,38,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_053_d6e125d4b1ff838100937af08b912f0b.png,29,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_054_c505515711e6d4153bd59214d979c041.png,17,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_055_61b751b4e6c2a79d0369b24683339be1.png,75,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_056_e5ea9cccfefaf9d788e1447821752285.png,38,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_057_28508d4d8bb189cedd8d6c79b8d529c9.png,53,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_058_c7d215de538362b06b7ae3a0d70eb0e4.png,59,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_059_5223912945e356e1d6de561ad62a946f.png,32,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_060_05481195119c8cfb884bf1462b53b004.png,68,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_061_610487e58f3868cabe7aac6b0d327a39.png,46,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_062_83685961615806fbb89a8788aa117f05.png,78,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_063_4e36cfad62c065237107d1a0fe1abd9b.png,72,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_064_69a7526d382f793aaccd7dfe79dd2901.png,89,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_065_e4910c7beb3eab919a7e93d4bcc04241.png,89,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_066_3831ee45ac7b7283b9becaa7116d8f33.png,51,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_067_ce433f891aafce35a31e058364a98194.png,37,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_068_f29860b096765cfacea56a44c4fd805d.png,97,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_069_eb47620da7f5e3594085fb3279b1904a.png,32,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_070_5e5f9e511001c3ead65b7dc51897a1ba.png,93,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_071_c02c490c04b16068d3d7b0fad37c12e6.png,104,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_072_424a7ee29385c53e950de973f411a30c.png,33,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_073_19bdf3c429c892641865a1bd2b143fea.png,123,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_074_62b10ef656ce919574d9479871af5aee.png,57,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_075_458d0586e1dc5d723b54924fa1a75ab1.png,51,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_076_5e0c3876e86a354de6847e17b71133a4.png,76,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_077_28d57ea979962b5e05639ed582021cdd.png,40,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_078_408929e7f250196167bf4418c08fd999.png,51,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_079_ec342d2fc5da33cd79e9c1e3c507778e.png,13,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_080_e131600fb2e2442a74a46722d621a1ff.png,12,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_081_0f023f6ad3d33b33334016798995fe53.png,10,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_082_dd61f345bc7cdcbf3bb86d58eb0992b4.png,35,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_083_27ce7facb22d6ed75c146a43d23e7dde.png,23,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_084_c7adf1972424f069b6355c500962722f.png,43,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_085_6bb20c67c4013e8805d0f64315b9bcb1.png,77,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_086_de81ced6d8b99536da382f09b4290d70.png,31,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_087_aab4785d3320a7fd40e5ec45caf36b72.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_088_6335a5572eb69c87a905e2086964b929.png,23,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_089_4bdf1fe55c86e3fd82c022a744de5958.png,15,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_090_81508bd550a84bbe5731b93048e54270.png,19,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_091_18f547031e43fa4fa11c2ceb03d1aaaa.png,69,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_092_66ac6258c1215e76435accb18ec68f08.png,32,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_093_9b712bff27856e5b7a14e4bbf67a4abc.png,25,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_094_02c7fb946ad5c5e5f9c1e1178c21fc92.png,10,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_095_9b77f6a1b82859bc68b26fae965564fa.png,42,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_096_c9b3f954a9d1e35591818b6c493facb9.png,21,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_097_299abd9ed2593fa2a0bcd9ba0c73a576.png,29,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_098_eb3f9b657f847098a227d3c826c6d19c.png,11,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_099_81c4574751d0daa8c717d37e047ec234.png,6,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_100_ee5338ab73b4db0c88f9e9dc98aca68e.png,35,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_101_688bb88091ed6d58563888211455a559.png,19,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_102_023fcddb41b212f8ac3edde190d4ae5c.png,16,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_103_b0fddd5dbd774fcc23ddf897ee7bf26c.png,15,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_104_3265df8f2ecb21f1688c33025e540df8.png,8,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_105_f12544c3bfc1959d2010d7ec4f41cc56.png,4,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_106_de74adc961e7cfaecd97f7e7e5e9a571.png,7,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_107_2fcce94875a4487c35970f75ad569640.png,8,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_108_5f5ca39f3cb7338eeaec5f00faa11447.png,39,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_109_0b1732c713ea3f212e602c004fedeb65.png,41,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_110_05332b67f94b5d1adbd8177bd8e1ff0b.png,18,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_111_e57d535d86c5898be4e897eaed05c8c6.png,34,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_112_6bcb86179547a5f44a5622293f15d283.png,44,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_113_edc3ac951f31fca241b7f04d2c5daac5.png,24,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_114_624930d9bfc4219ba1bdd73ea3fed13b.png,39,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_115_b885f6b8c2023a5b25c95fd0381f9892.png,19,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_116_ccfee7ab69cc4221156c47426b0e8ec8.png,58,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_117_21b6561df430853f3831fd83389c109f.png,53,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_118_886b686fa3d22bb870a6ba41e5d1b82d.png,34,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_119_ba49ee2fe18405a74c4daaef256365cc.png,20,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_120_79bd0d0b44949450452bd745fd795a9a.png,24,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_121_84c4b1e0a44ff6f6ce78e04f751518ed.png,40,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_122_a83df706a2f6abcc60ee209fc3cb9b64.png,27,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_123_e9743b8e738f3f0bd2a084cbf8dc1cab.png,26,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_124_d87688d665139adb1d9dec9f902fa4a9.png,45,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_125_c642b1c083b38d9b56724bc76867459e.png,58,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_126_fc7e39dda329976b5095eef082d6e998.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_127_c22f24fa5dc7c8d99c2d2ba5e293960c.png,26,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_128_cef1983c1bb8c0d9eb60efe03cfb3582.png,15,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_129_b8f6374bc7c780a8b4fd99498b05afbb.png,50,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_130_a42845987c650d7243ad0c08e97debf5.png,55,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_131_7d9c47264d5ffa28fdb561d0be14bb90.png,15,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_132_763240077e66777b2a196a6af78c9716.png,59,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_133_4a34b60331799fdc99ccce2ac9531a9d.png,31,train
